id,datetime,upserted_rows
43446,1712672435997,0
43447,1712672735987,0
43448,1712673036005,0
43449,1712673336020,0
43450,1712673635997,0
43451,1712673936006,0
43452,1712674236003,0
43453,1712674535878,0
43454,1712674835995,0
43455,1712675135994,0
43456,1712675435996,0
43457,1712675735999,0
43458,1712676035993,0
43459,1712676335994,0
43460,1712676635999,0
43461,1712676935989,0
43462,1712677235994,0
43463,1712677535994,0
43464,1712677836000,0
43465,1712678136022,0
43466,1712678435999,0
43467,1712678736000,0
43468,1712679035869,0
43469,1712679335999,0
43470,1712679636129,0
43471,1712679935996,0
43472,1712680235993,0
43473,1712680535995,0
43474,1712680835989,0
43475,1712681135982,0
43476,1712681436003,0
43477,1712681735996,0
43478,1712682036001,0
43479,1712682336008,0
43480,1712682635999,0
43481,1712682935992,0
43482,1712683235994,0
43483,1712683536006,0
43484,1712683835992,0
43485,1712684136007,0
43486,1712684436019,0
43487,1712684735881,0
43488,1712685035987,0
43489,1712685335995,0
43490,1712685636009,0
43491,1712685936005,0
43492,1712686235992,0
43493,1712686535992,0
43494,1712686835991,0
43495,1712687135991,0
43496,1712687435994,0
43497,1712687735994,0
43498,1712688035992,0
43499,1712688335994,0
43500,1712688635990,0
43501,1712688935996,0
43502,1712689236000,0
43503,1712689535999,0
43504,1712689835996,0
43505,1712690136006,0
43506,1712690435976,0
43507,1712690736002,0
43508,1712691035992,0
43509,1712691335995,0
43510,1712691636003,0
43511,1712691935971,0
43512,1712692235987,0
43513,1712692535994,0
43514,1712692836002,0
43515,1712693135997,0
43516,1712693435984,0
43517,1712693735994,0
43518,1712694035991,0
43519,1712694335996,0
43520,1712694635998,0
43521,1712694936006,0
43522,1712695235883,0
43523,1712695535997,0
43524,1712695835993,0
43525,1712696136002,0
43526,1712696436000,0
43527,1712696735993,0
43528,1712697035997,0
43529,1712697335999,0
43530,1712697635991,0
43531,1712697935999,0
43532,1712698235998,0
43533,1712698535994,0
43534,1712698836000,0
43535,1712699136008,0
43536,1712699435989,0
43537,1712699735880,0
43538,1712700036002,0
43539,1712700335988,0
43540,1712700635985,0
43541,1712700935993,0
43542,1712701236001,0
43543,1712701535997,0
43544,1712701835980,0
43545,1712702136001,0
43546,1712702435992,0
43547,1712702736006,0
43548,1712703035994,0
43549,1712703336002,0
43550,1712703635987,0
43551,1712703935874,0
43552,1712704235990,0
43553,1712704535993,0
43554,1712704836000,0
43555,1712705135994,0
43556,1712705435878,0
43557,1712705736010,0
43558,1712706035997,0
43559,1712706335990,0
43560,1712706635995,0
43561,1712706935995,0
43562,1712707235994,0
43563,1712707535993,0
43564,1712707835987,0
43565,1712708135988,0
43566,1712708435990,0
43567,1712708736002,0
43568,1712709035994,0
43569,1712709336004,0
43570,1712709635994,0
43571,1712709935992,0
43572,1712710235993,0
43573,1712710535995,0
43574,1712710835997,0
43575,1712711135974,0
43576,1712711435997,0
43577,1712711735992,0
43578,1712712035995,0
43579,1712712336008,0
43580,1712712635972,0
43581,1712712935997,0
43582,1712713236031,0
43583,1712713536002,0
43584,1712713836021,0
43585,1712714135997,0
43586,1712714435903,1
43587,1712714735933,0
43588,1712715035906,0
43589,1712715335901,0
43590,1712715635710,0
43591,1712715935835,0
43592,1712716235840,0
43593,1712716535834,0
43594,1712716835830,0
43595,1712717135833,0
43596,1712717435846,0
43597,1712717735824,0
43598,1712718035832,0
43599,1712718335827,0
43600,1712718635840,0
43601,1712718935834,0
43602,1712719235838,0
43603,1712719535819,0
43604,1712719835841,0
43605,1712720135838,0
43606,1712720435787,0
43607,1712720735839,0
43608,1712721035827,0
43609,1712721335841,0
43610,1712721635829,0
43611,1712721935840,0
43612,1712722235825,0
43613,1712722535862,0
43614,1712722835831,0
43615,1712723135855,0
43616,1712723435837,0
43617,1712723735834,0
43618,1712724035825,0
43619,1712724335841,0
43620,1712724635720,0
43621,1712724935901,0
43622,1712725235835,0
43623,1712725535841,0
43624,1712725835717,0
43625,1712726135892,0
43626,1712726435842,0
43627,1712726735836,0
43628,1712727035825,0
43629,1712727335835,0
43630,1712727635831,0
43631,1712727935821,0
43632,1712728235848,0
43633,1712728535843,0
43634,1712728835828,0
43635,1712729135850,0
43636,1712729436010,0
43637,1712729735830,0
43638,1712730035830,0
43639,1712730335822,0
43640,1712730635838,0
43641,1712730935832,0
43642,1712731235824,0
43643,1712731535832,0
43644,1712731835846,0
43645,1712732135833,0
43646,1712732435840,0
43647,1712732735828,0
43648,1712733035829,0
43649,1712733335847,0
43650,1712733635845,0
43651,1712733935834,0
43652,1712734235836,0
